"Date"	"Year"	"Month"	"Day"	"Churanov"	"Klatovy"	"Lenora"	"Husinec"	"Karlovy_Vary"	"Bedrichov"	"Desna"	"Harrachov"	"Rokytnice_Orl"	"Sumperk"	"Svetla_hora"	"Mesto_Albrechtice"	"Cervena"	"Lysa_hora"	"Vsetin"	"Frenstat"	"Jablunkov"
19800223	1980	2	23	352541.629609081	407921.792600185	165828.035028083	285233.245490982	338172.302589283	387137.557175527	303013.428200976	458215.985707719	483315.490369073	145277.285483748	181200.438233444	505141.526722176	424212.519257248	302360.02923023	378925.690535126	287713.485940545	353476.66684365
19800224	1980	2	24	266637.209135254	414389.682556529	160751.51571581	266820.422537803	358358.686734533	415140.834943779	530249.792776469	494604.637249621	329935.322378269	81201.3884965979	169421.356912374	564758.935013695	327005.104763365	501988.697634438	286803.884559233	217354.832045957	306756.448675876
19800225	1980	2	25	564779.574491511	283166.645387528	202103.286841222	178064.217756396	386514.449099489	378435.619205388	276849.817268195	298814.519039216	737685.112980293	247541.293560466	306905.67565313	454693.506268629	626739.335626081	555625.436807901	360312.336797173	281715.187995159	266029.365564379
19800226	1980	2	26	416386.449302025	404201.456696006	220995.780894714	361631.043417193	385238.672612253	118381.578739649	237015.578067167	326012.097741246	583046.425397204	152434.924121868	15212.1075012183	0	0	139165.417057268	116791.863988608	30936.0769719172	54046.8704304373
19800227	1980	2	27	215381.451302265	418391.279102702	136226.157857724	255432.524237793	199565.364323487	0	0	7531.76444864015	46163.1400263706	100664.062735615	0	0	0	0	0	15710.4802701814	78422.5224109302
19800228	1980	2	28	0	152310.125134066	24404.8601703496	89144.5241791158	155972.085400972	0	0	0	0	102259.82787573	15701.1337783271	7819.39855979376	0	0	0	143595.829848057	175221.435690121
19800229	1980	2	29	49330.2947236423	439533.295596458	239470.833117989	501837.653578412	514975.393909099	202008.890602307	217766.504625299	202279.365475884	158816.404032621	151809.211847186	215310.123030775	254189.06354085	96468.2867174007	0	260875.678947412	234925.979156406	234552.452645153
19800301	1980	3	1	275401.979176566	628039.856153575	511255.998589608	709802.838640655	700161.330625012	410557.948717861	426768.250795265	458530.921856402	395227.903285877	576150.889976922	502160.26988595	580928.579199988	269400.492275406	16445.366513925	463483.060857964	501740.085712602	550232.469627553
19800302	1980	3	2	262577.664959023	679493.625135012	501842.401781845	652600.365783675	629394.979569314	224620.100102417	240896.504885548	289168.635600635	352252.710728414	552121.958458264	435938.507902282	549030.746247239	265256.020020554	0	529297.640466221	609590.721730954	616996.901386451
19800303	1980	3	3	0	298019.600580591	0	163417.608662552	290536.515547015	0	0	0	0	117143.46258712	0	0	0	0	144967.864948868	0	0
19800304	1980	3	4	0	397520.27022168	131362.861533136	235638.981895366	295016.228559197	0	0	0	0	67960.3935216202	0	0	0	0	0	0	0
19800305	1980	3	5	97345.7400387584	578784.591330471	275422.561418629	363039.161717853	402220.910034444	0	0	0	42877.9353399434	0	0	77203.0262794925	17342.8887792671	0	114166.04359655	218295.18586324	52315.4596441288
19800306	1980	3	6	493770.309044903	605061.022005723	342472.077984611	431165.460484231	556004.356229033	230546.715014752	230751.544142561	350504.152395264	348206.665358203	612701.173685686	436890.899664825	505045.424994433	334418.719491886	0	650460.958710038	646817.596121016	522033.306528956
19800307	1980	3	7	437106.377965995	767310.095816344	621584.714380644	710683.303116434	564353.19188002	355472.16298912	347103.885478455	468726.017827182	415269.278307251	559625.789158369	443399.00792724	539118.931118473	357211.621122116	44937.3803285698	641809.530124511	719196.746625996	709225.694858844
19800308	1980	3	8	314016.842810157	695938.211044824	500587.484204743	554441.982511314	581697.825434107	396094.454671066	378812.792297975	422980.780517678	412463.176499263	540824.287260902	494937.275078081	556082.62204997	353370.892375284	145882.023820433	623519.041476548	601926.231097053	673973.661409069
19800309	1980	3	9	280974.466207738	659421.177671185	516996.566516464	655948.537305462	681079.322044239	214436.623900666	241442.503347278	357791.985043911	400327.084702251	576147.266169874	529563.761387437	546048.665807899	395253.890195348	157223.170839089	688189.506997908	684564.665349489	766804.709908756
19800310	1980	3	10	199424.701480076	687568.921772323	524166.609538903	627083.080336437	663375.789729254	63478.0070069723	99832.6499131776	199719.618893907	359998.305045772	528804.498606141	361240.763231365	350860.763919617	214445.563906557	0	528130.720682574	440965.792272088	431023.220190893
19800311	1980	3	11	259943.552256952	573025.503382421	473398.061319084	510514.49453588	570144.737216809	73618.6695540916	101306.632849888	211879.375362328	252819.692629642	461086.202668217	216092.688449522	365278.990929295	170208.947524886	0	506812.139069152	418623.851009141	456099.944756828
19800312	1980	3	12	214701.127170828	619685.950341414	460249.341341533	546779.331489836	616216.717580234	196076.001288442	186885.249412093	289747.656406313	389384.989552617	391267.056659989	381144.557216231	417982.990013429	201366.917994002	0	475034.089438886	434097.407064281	443191.603336258
19800313	1980	3	13	227497.056966435	647803.760793214	555761.770194244	554171.204187031	894136.519094148	322051.223474337	293859.943981147	407716.190621785	510452.831800671	658019.230435863	376832.615819022	462412.147436169	359722.031130877	0	717378.177989018	704123.645217952	625124.863126589
19800314	1980	3	14	431014.543329697	1114201.0657965	683840.079154223	922603.090697316	623931.442193758	672539.864662825	711503.869233831	817472.044941843	800780.518120865	1020327.12729137	538811.277314326	556775.931761693	660348.867537309	208118.901785742	996002.061369152	882238.187360806	792076.96095672
19800315	1980	3	15	314846.764130938	877098.407522156	529825.644041209	711270.638215515	1008155.92513825	730781.729068971	770321.58645106	760756.528548201	841537.24695565	885132.036520878	417108.189125328	475334.507202487	569433.490360534	411807.932456253	888209.707994649	693204.471949085	712464.413730712
19800316	1980	3	16	524758.789519458	1072602.47126759	670911.687406446	730874.736552979	951822.203606434	612571.037088461	711883.524119855	702164.081781359	863061.886443882	776167.930766298	523435.241137686	401517.92609831	323983.765586064	600506.700817667	460208.915558954	447937.857758087	457594.733939055
19800317	1980	3	17	750432.124159903	1128061.46919555	595918.727746227	802898.265933521	954549.176454794	330558.629821076	390934.56227489	531394.298249906	610263.766983009	592480.836463095	459056.923978161	406935.515219755	287257.574932152	422805.400933191	673444.87431713	536360.916446248	690307.639703582
19800318	1980	3	18	675592.974790617	995915.502557529	529394.773191874	665322.874420284	884993.744753313	385850.391372091	355632.650820673	467509.837383255	762700.815249187	734885.971062982	475488.503733829	443290.123565468	415765.279349401	261169.726284595	755619.885349731	574699.107761375	563632.740220124
19800319	1980	3	19	374141.441122694	721997.696599899	611109.146852292	652349.452344759	479626.893561503	133785.823639164	0	164806.962462683	302837.414356144	597702.779886243	188502.09215846	177564.211183318	10529.242729929	0	446414.105761937	317510.474280262	412321.888941737
19800320	1980	3	20	0	376320.553401299	162819.29227037	249042.170944065	242945.999395229	0	0	0	31736.1569411688	297406.459105998	0	0	0	0	86105.6165220257	0	42828.7560933172
19800321	1980	3	21	0	370140.344268582	186797.13440884	98654.7064245915	267479.246402512	0	0	0	0	268934.866245887	0	0	0	0	43590.227122601	0	0
19800322	1980	3	22	221819.625496975	540027.027074456	422617.268577558	321765.03863428	476763.042688681	256893.182552072	64263.6223201352	310672.459731439	466595.845748457	522872.219136561	0	65119.71128177	0	0	419213.085855331	164820.280477051	241494.475426755
19800323	1980	3	23	213269.116257385	780878.339241101	528979.964993226	617595.499472041	746087.996037616	607127.859359359	531562.919462451	575073.328612405	791083.177731535	805112.653500092	363521.178312673	285726.031342341	166057.401236827	467066.528108627	647642.712908625	522771.95197734	377805.442162265
19800324	1980	3	24	465690.443824292	858022.380896254	706066.955114312	772655.117173149	1177468.88193357	373294.118008902	395489.667528777	461496.778748583	433813.357882595	614055.965656195	200729.622824599	200260.668867852	0	450214.74488864	508522.501311473	371498.198343951	438623.446705277
19800325	1980	3	25	528621.578177764	971040.172023676	668236.055496769	770231.820509226	877064.706775104	566958.997565153	489427.771534526	589653.066382879	653049.664848902	791018.436244948	530507.649831105	495511.575219556	476318.894169651	387259.425875761	926203.794978158	717703.049054928	717032.267076137
19800326	1980	3	26	627752.861350148	1109573.65926621	757526.230473185	965225.938399326	1126669.59339119	697768.645499179	596821.181807916	720827.157890951	1059771.34101256	1040650.59066295	902416.877938066	968788.90270119	849218.515770477	564696.946376177	1226266.34605945	1095020.54594351	1105536.54223119
19800327	1980	3	27	964163.813960225	1473178.36034781	1166907.57217479	1387942.07414999	1174672.16666334	854374.482589609	923240.522253071	1094414.80724482	1210766.8409527	1319091.52771907	1132723.47311739	1349386.04872955	1079796.75931155	676201.951787937	1369164.41128078	1632502.80488762	1467941.69412323
19800328	1980	3	28	1272321.35533215	1998501.64214886	1394564.1037262	2010243.02828653	1677895.20378372	1037589.74455935	899735.644855622	1096031.22794642	1481657.59612766	1533484.48509852	1391533.90011007	1715294.74448965	1397685.29381869	990579.795799474	1526804.83124361	1780995.40937339	1649815.04740924
19800329	1980	3	29	1070072.11959157	1710093.7594589	1446170.64563592	1683822.91633945	1756325.89266013	1201559.91953672	1167185.25220626	1225762.21973188	1640448.90925113	1610335.72875434	1443068.37792041	1711557.08425235	1425538.68382272	966027.669476467	1723509.10316172	1860814.34583461	1775803.70837172
19800330	1980	3	30	474058.056446513	1172883.05062767	901550.263036384	1118656.26861164	1108789.03739392	649119.783223144	684882.774472065	685001.552889888	871375.597503241	1269358.23997508	1076666.14861243	1122235.69756597	804896.092675682	422084.621860694	1149648.60691356	1290587.39110789	1373875.77806454
19800331	1980	3	31	626635.261567772	1295749.11919748	825063.114405685	1106179.72768713	1181598.26320799	584980.134565919	597221.915858562	740680.541743299	917406.058637027	1223015.40296277	834699.842612419	1050362.4795679	862427.391895842	231656.547044034	1027647.91494973	1146276.18191527	1047870.07291574
19800401	1980	4	1	1117631.75059495	1655712.50876104	1381413.50174559	1602437.64907949	1389815.34410072	990081.092404196	833530.29102965	966571.594189535	1293749.6374961	1432385.91546163	1174157.6573213	1428237.54154089	1129752.04524338	591594.696218669	1335504.90945122	1602489.27992392	1539635.17755931
19800402	1980	4	2	690183.124765214	1323683.31030722	1119214.40239029	1405890.8529727	1269488.31037841	818036.478929331	794001.605738374	867433.872165365	1258553.999275	1386076.80195826	1211675.98004048	1357478.22925148	1005410.51889762	548100.711152407	1437174.16375944	1519968.54895805	1543692.57474264
19800403	1980	4	3	190183.234578368	769731.451878246	597142.471560593	722910.512716437	897003.294607872	333297.278624549	345804.826406411	494084.582356816	573703.951859514	888084.417268671	687321.181777654	748424.666104301	514324.72842818	37764.7186379473	934472.039843345	919079.972691735	1031613.10328287
19800404	1980	4	4	0	777684.689780459	462033.788808026	589355.89275509	856192.55476248	224615.618606543	249687.84514357	337130.292461893	567194.449491289	720491.75505364	505155.534567765	542067.162612007	329574.932900656	0	663428.678811054	610604.655291476	648290.519550595
19800405	1980	4	5	25874.4770632789	721205.945857095	427770.37210112	556458.093138378	992405.550247098	264859.549850885	328068.60769354	403837.13921155	636810.407902039	817380.241828025	510416.595585518	560475.18634479	371396.953900617	0	657280.499102535	591150.409811564	629252.285959889
19800406	1980	4	6	195981.160057432	845503.753465765	628344.787557332	692657.090889456	1002657.08818342	484326.742304844	522791.843793356	675902.632127865	823516.286885966	1019279.12600469	683238.067363992	707810.301861796	530415.341629089	181702.86752085	872124.580314607	674990.675245868	778291.074109411
19800407	1980	4	7	580485.655350503	1142841.05563954	885576.758529031	897354.520417274	1376443.18571548	811304.171425178	811650.371229192	927732.257458322	1195814.05389001	1198968.49027543	1067759.14837076	1104981.87528645	914649.393175694	393227.530306091	1156759.7244718	1035640.20073794	1048035.15743603
19800408	1980	4	8	332988.308910811	1047832.11491494	733911.125250379	932610.645151571	1088570.71583703	650476.276624167	728836.368888385	754970.782989417	840177.635010045	973952.458018597	828505.320210453	945327.951794339	765317.536048581	304419.63025383	1061795.77694457	992804.456525146	1058288.45886034
19800409	1980	4	9	215126.389266344	870381.802839153	713872.945678302	914519.64955573	966850.36539439	420494.129128404	499539.060446023	539049.075316483	729123.418157816	1010038.90246813	810050.539146002	914839.254625643	586214.09257325	93540.2284896734	844142.947102443	935523.229579456	908206.294127165
19800410	1980	4	10	339260.40772497	1067798.60447884	747665.051476255	1004459.50559362	1109952.19634893	557363.052038639	663789.245071102	756819.182525264	870023.593505894	979486.402762959	764217.692273388	856748.78623184	564905.513251663	0	825018.753487821	809460.175419093	795467.841179236
19800411	1980	4	11	629949.000269446	1323225.85030333	960233.858102282	1232806.10548163	1296042.77811578	750389.074944907	750677.37215186	898246.782636101	986397.960689171	1232539.27689982	1123344.36569877	1067605.44327311	855309.427959432	299526.456072809	1173884.22530659	1184636.21989753	1143085.24765311
19800412	1980	4	12	870517.724255973	1638111.90987715	885786.33207499	1202425.67322685	1498977.39376141	744049.221431501	879659.773705901	960978.829986834	1132013.41763414	1161970.57160254	819618.053121676	1377678.22719034	1178340.5061944	467141.429695582	1308512.11067652	1154251.86780701	1249693.05018494
19800413	1980	4	13	1254597.50195889	1888880.47239554	1130940.33518312	1408258.75173193	1952889.41843309	901269.313784685	942579.063624253	1024666.6675697	1624173.60949716	1420899.93382018	1350967.44034707	1459176.50049613	1603812.81356482	928828.342648146	1445271.76923664	1372607.25512721	1454949.84711298
19800414	1980	4	14	1729527.26858833	2129673.10050644	1309722.12426885	1631461.27400173	1817943.49141346	1212820.22804917	1158102.02029785	1406432.61059318	1999967.4492536	1781639.31224274	1627408.38810596	1972417.75463641	1855259.1897392	1384590.98279442	1612170.61484026	1706456.43202425	1789368.64644946
19800415	1980	4	15	1886123.477846	2275276.01622542	1548104.77141328	1787239.89181181	2170169.64716521	1265581.09302202	1419052.05901793	1600095.18915591	2438108.15990368	1965871.5454744	1894392.36473177	2214162.84054622	2307747.21294161	1749316.28989294	2007861.09430259	2074014.14057298	1945963.4609599
19800416	1980	4	16	1959166.07009527	2337363.35568537	1732898.7602185	1845149.70748768	2499893.75546444	1669791.99132314	1894936.32217883	1782842.66853556	2544210.65947599	1997089.34789197	1939170.83460222	2275903.48539295	2214087.8839719	1650440.79725168	2024889.13812409	1906747.38157029	1991059.49151726
19800417	1980	4	17	1917656.44171267	2385614.20677527	1804880.21135786	2134369.11020881	2564134.25712478	1302273.96485064	1401816.29852517	1713516.83210775	2124112.46395221	1942687.02887877	1827254.08543511	2181367.03491794	2275767.80921945	1520821.86464919	1969866.26005082	1851003.71401783	1993456.36182006
19800418	1980	4	18	1424459.97278995	2144368.4871434	1673877.20485469	2093499.16851266	1982445.54890355	1013688.65871225	1014009.39217342	1214082.83697536	1610104.45647669	1771695.7267405	1468307.51387454	1639025.28478594	1472063.47603847	867940.0657233	1710556.38657719	1909660.80889827	1648420.13283759
19800419	1980	4	19	644642.092072593	1445954.33577822	1100300.97722043	1465377.87298145	1361564.44980177	633524.647048897	604913.949506458	633784.253567229	1043632.79457952	1350584.92038162	1074016.96158025	1217693.53168502	829338.851703904	335403.880219408	1358982.18437103	1400083.82988202	1311935.13423696
19800420	1980	4	20	236246.205195047	1030470.31981647	768803.626293008	1004234.13741337	905367.17645541	479096.037285886	406627.071864037	580953.570806754	774470.67178657	878375.543653412	877865.99033296	993757.118336266	615988.734329883	0	1045685.48689955	1014304.74603776	1043208.08830461
19800421	1980	4	21	357085.584539899	1157142.32076929	834256.477501198	907757.248764049	1162833.91023717	644010.021142838	717400.813543269	819965.779550076	1237249.44582206	1298485.49375977	973315.723316194	1060599.63927002	694741.886220642	118506.492886828	1113147.41467096	1125915.66299337	1155011.15060021
19800422	1980	4	22	299809.170156765	1255634.20210907	765454.06104169	959558.267083049	1320301.99841444	575399.777540079	634593.557640206	767487.3487471	920351.737379196	1234223.10340446	832273.82093213	831361.590959963	625623.678476383	44780.0050122573	987008.960527895	850896.339820878	865436.221888825
19800423	1980	4	23	211414.46500224	813217.141103411	680357.316985563	815595.031791853	1016530.24384264	505572.302400021	684196.203612412	818135.016214677	703039.558627439	958942.80723835	823654.687111171	882617.442000939	585333.211698121	75193.5366606114	1069691.61729863	1022720.97994619	1127510.65233234
19800424	1980	4	24	334625.692082832	970865.751726973	776620.397791932	927979.35605405	1129630.78439584	659311.670660459	674474.431492717	809440.641846452	813825.548513286	1071777.25982366	859998.699387528	949544.947286186	695517.037411466	196942.151843425	1183737.93013628	1257505.84597802	1408418.64191646
